model,case,scenario,parameter,NRMSE,Calibration Error,Posterior Contraction
DDM,interaction,BayesGPT_Family,$a$ -- $u_1:u_2$ | $c_{1}$,24.087341874219696,12.371134020618193,-6.370756874519024
DDM,interaction,BayesGPT_Family,$z$ -- $u_1:u_2$ | $c_{1}$,24.28238870886596,-70.67669172932344,-7.368074136287281
DDM,interaction,BayesGPT_ModelClass,$v$,2.7758624175822484,-59.0062111801242,-3.5981420280650083
DDM,interaction,BayesGPT_ModelClass,$a$,0.5511542567900276,-70.14218009478678,-1.3697451958236304
DDM,interaction,BayesGPT_ModelClass,$z$,5.921436328373392,-60.264900662252025,-1.0178928224960084
DDM,interaction,BayesGPT_ModelClass,$\tau$,2.671097286894689,-16.23188405797126,-0.9090777702302206
DDM,interaction,BayesGPT_ModelClass,$s_v$,1.8433925952625116,7.086614173227805,-9.419401424870856
DDM,interaction,BayesGPT_ModelClass,$s_\tau$,2.666536872279069,125.8064516129033,-0.4118840312690795
DDM,interaction,BayesGPT_ModelClass,$v$ -- $u_1$ | $c_{1}$,0.3569295993312634,345.36082474226873,-6.157676988737224
DDM,interaction,BayesGPT_ModelClass,$a$ -- $u_1$ | $c_{1}$,5.6598404377497165,68.96551724137893,-0.4548000409143883
DDM,interaction,BayesGPT_ModelClass,$z$ -- $u_1$ | $c_{1}$,5.553141867180281,104.2553191489366,-1.5177775409926604
DDM,interaction,BayesGPT_ModelClass,$\tau$ -- $u_1$ | $c_{1}$,5.116941945086276,119.27710843373559,-0.17227779740733254
DDM,interaction,BayesGPT_ModelClass,$s_v$ -- $u_1$ | $c_{1}$,0.20898718875884253,3.5294117647062255,-1.6968552276128834
DDM,interaction,BayesGPT_ModelClass,$v$ -- $u_2$ | $c_{1}$,1.0880500163442053,-39.77900552486225,-2.424630964587472
DDM,interaction,BayesGPT_ModelClass,$a$ -- $u_2$ | $c_{1}$,6.513879971416293,49.31506849315027,-0.6925900153179471
DDM,interaction,BayesGPT_ModelClass,$z$ -- $u_2$ | $c_{1}$,-0.7385755777400783,-54.67625899280584,-1.713614902974358
DDM,interaction,BayesGPT_ModelClass,$\tau$ -- $u_2$ | $c_{1}$,12.879002360458598,95.27559055118182,-0.22428259028077935
DDM,interaction,BayesGPT_ModelClass,$v$ -- $u_1:u_2$ | $c_{1}$,2.558600265099236,-2.32558139534849,-5.296571160541792
DDM,interaction,BayesGPT_ModelClass,$a$ -- $u_1:u_2$ | $c_{1}$,0.764439330203591,51.376146788992,-2.1828338229237905
DDM,interaction,BayesGPT_ModelClass,$z$ -- $u_1:u_2$ | $c_{1}$,1.3894803866270529,330.76923076922986,-3.131126433063799
RDM,intercept_only,BayesGPT_Family,$v$,0.6226802666554956,-44.915254237288636,-1.5084291925746505
RDM,intercept_only,BayesGPT_Family,$v_{\mathrm{diff}}$,0.2818104290128688,-16.52542372881353,-0.11471584314485579
RDM,intercept_only,BayesGPT_Family,$a$,2.362260249496707,47.32142857142864,0.0015760381363735438
