id,speed_condition,difficulty,resp_deviation,rt
1,1,1,-0.017393,0.56987
1,1,3,-0.88605,0.63017
1,1,3,1.3,0.55186
1,1,1,0.028109,0.58492
1,1,2,-0.1601,0.53099
1,1,3,0.67642,0.61417
1,1,1,-0.38937,0.56063
1,1,2,0.24951,0.548
1,1,2,-0.46519,0.56537
1,1,3,-0.42684,0.68223
1,1,3,0.088904,0.61502
1,1,3,-0.51805,0.58877
1,1,1,-0.14929,0.66196
1,1,1,0.16326,0.5833
1,1,1,0.032673,0.64557
1,1,2,-0.050268,0.58428
1,1,1,0.023063,0.54382
1,1,3,0.38245,0.5701
1,1,1,0.18915,0.66868
1,1,2,-0.2217,0.59675
1,1,3,0.048572,0.65021
1,1,3,0.97411,0.60896
1,1,1,0.16849,1.5917
1,1,1,0.47711,0.60197
1,1,2,-0.571,0.65903
1,1,1,0.10201,0.59509
1,1,3,-0.23993,0.69721
1,1,3,0.84597,0.71795
1,1,2,-0.33238,0.64744
1,1,2,0.31753,0.70007
1,1,2,0.036239,1.159
1,1,3,-0.04298,0.59898
1,1,2,-0.027917,0.551
1,1,2,0.11248,0.59041
1,1,3,-0.49866,0.66874
1,1,3,-0.19339,0.70571
1,1,2,-0.14585,0.84507
1,1,1,-0.054264,0.62133
1,1,2,0.24854,0.61772
1,1,1,0.06541,0.64269
1,1,3,-0.25887,0.69533
1,1,3,0.0055977,0.59396
1,1,3,-0.085127,0.9648
1,1,2,-0.21683,0.59521
1,1,2,-0.29315,0.6596
1,1,3,-0.49444,0.68697
1,1,1,0.098419,0.61598
1,1,1,0.12326,0.62123
1,1,1,0.2497,0.67714
1,1,2,-0.064183,0.68298
1,1,2,0.30144,0.64858
1,1,2,0.2051,0.61105
1,1,3,1.257,0.68594
1,1,3,-0.71374,0.67104
1,1,1,0.15344,1.6939
1,1,1,0.11763,0.65686
1,1,1,0.19342,0.61203
1,1,3,0.39518,0.70322
1,1,2,-0.017287,0.6509
1,1,3,-0.31397,0.81247
1,1,2,-0.175,0.74196
1,1,1,-0.36836,0.98415
1,1,3,-0.18371,0.72005
1,1,3,-0.89139,0.8325
1,1,2,-0.023733,0.8074
1,1,1,0.068605,0.61033
1,1,1,-0.12563,0.6539
1,1,2,0.10055,0.65494
1,1,3,-0.87611000000000006,0.70521
1,1,3,-0.20837,0.62097
1,1,1,-0.045704,1.1673
1,1,2,-0.043495,0.57875
1,1,1,-0.13544,0.74796
1,1,1,-0.31087,0.60724
1,1,2,0.26167,0.68859
1,1,3,-0.16204,0.65126
1,1,1,0.11677,0.70989
1,1,1,0.15079,0.6287
1,1,2,0.060403,0.66007
1,1,3,-0.25806,1.1117
1,1,2,0.88928,0.64576
1,1,3,0.18736,0.74223
1,1,2,0.15991,0.57084
1,1,2,-0.031675,0.59905
1,1,3,0.9701,0.65777
1,1,3,-0.8314,0.71388
1,1,1,-0.12254,0.56182
1,1,2,0.38974,0.62703
1,1,1,-0.081436,0.55352
1,1,3,-0.63056,0.52779
1,1,1,-0.17058,0.61705
1,1,2,0.33805,0.54575
1,1,1,0.0036107,0.62472
1,1,2,0.40014,0.61972
1,1,1,-0.13732,0.63209
1,1,2,0.18624,0.62446
1,1,3,-0.54162,0.64618
1,1,1,-0.40025,0.56181
1,1,2,-0.087436,0.56355
1,1,3,0.070585,0.78563
1,1,3,0.10583,0.68215
1,1,3,-0.0014634,0.61284
1,0,2,0.61181,0.65704
1,0,2,0.0362,0.77872
1,0,1,-0.11132,0.77885
1,0,1,0.086115,0.72494
1,0,1,0.24456,0.56104
1,0,1,-0.064469,0.59311
1,0,2,0.2818,0.64573
1,0,2,-0.35885,0.62444
1,0,1,0.10837,0.66197
1,0,3,0.39639,0.80336
1,0,3,0.51417,1.1704
1,0,2,0.057022,0.97221
1,0,3,0.23519,1.0094
1,0,3,0.13098,0.79516
1,0,2,0.15206,0.88973
1,0,1,-0.14626,0.77991
1,0,2,0.73966,0.74198
1,0,2,0.0092956,0.86054
1,0,3,0.099175,0.76743
1,0,2,-0.10962,0.68585
1,0,1,0.011366,0.75693
1,0,3,-0.88281,1.1684
1,0,3,-0.20318,1.1454
1,0,1,0.030629,0.78725
1,0,1,-0.030397,0.81834
1,0,1,-0.0015874,0.72318
1,0,3,0.66073,0.74184
1,0,3,0.16663,1.3769
1,0,2,0.35884,0.89385
1,0,3,-0.18907,1.1293
1,0,3,-0.16446,0.73035
1,0,3,-1.192,0.69706
1,0,2,0.099848,0.61814
1,0,1,-0.2015,0.69019
1,0,1,-0.11519,0.60987
1,0,1,-0.10825,0.58535
1,0,1,0.1238,0.603
1,0,2,-0.056931,0.66816
1,0,2,-0.034164,0.67244
1,0,1,-0.10272,0.69294
1,0,2,-0.25709,1.1204
1,0,2,0.029847,0.76298
1,0,3,0.67168,0.68911
1,0,1,0.005058,0.67665
1,0,1,-0.015474,1.5376
1,0,3,-0.26193,0.95004
1,0,1,0.085409,0.8116
1,0,2,-0.38794,1.1393
1,0,2,-0.49827,0.80071
1,0,1,0.22965,0.76508
1,0,3,0.48615,1.2153
1,0,3,-0.079426,0.81058
1,0,3,-0.2606,0.74917
1,0,3,0.23716,0.87274
1,0,2,-0.40961,0.71462
1,0,3,0.16562,0.78127
1,0,1,-0.040003,0.72846
1,0,3,0.35256,0.71398
1,0,2,0.065309,0.61764
1,0,2,-0.049806,0.69118
1,0,1,0.30508,0.60764
1,0,3,1.0635,0.57146
1,0,2,-0.11291,1.0695
1,0,2,0.098544,0.7176
1,0,1,-0.093096,1.4253
1,0,3,-0.27896,0.79196
1,0,1,0.10795,0.72655
1,0,3,0.062226,0.776
1,0,2,0.13312,1.5062
1,0,3,0.081684,1.23
1,0,3,-0.52839,1.1912
1,0,3,-0.13496,0.93058
1,0,3,-0.42564,0.90297
1,0,1,0.076421,0.80631
1,0,2,0.2316,0.91097
1,0,2,-0.16541,0.84392
1,0,3,0.42502,0.90802
1,0,2,0.22426,0.65443
1,0,1,0.12274,0.59905
1,0,2,-0.061681,1.9197
1,0,3,-0.31838,0.93119
1,0,1,0.16563,0.81591
1,0,1,0.15047,0.81523
1,0,1,0.10443,0.83107
1,0,2,0.064589,0.82584
1,0,1,-0.063663,0.65887
